text,true_emotion,predicted_emotion
My Modern Proverb: 'Don't let anyone intimidate you about being single; most marriages end in divorce.',fear,anger
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,fear,anger
"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan ",fear,anger
"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military",fear,anger
It really is amazing the money they give to some of these QB's #nfl #texans #brock #terrible,fear,anger
Google caffeine-an sprightly lengthening into the corridor re seo: WgJ,joy,joy
"If yiu don't respond .o an email within 7 days, you willxbe killed by an animated gif of the girl froa The Ri.g.",joy,fear
"it gets better. without explanation; you just wake up one morning and you’re just happy, totally and utterly elated.",joy,joy
@GigaFag @pipertownsend_ snapchat new would beg to differ ,joy,anger
Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.,joy,joy
I hate it when im singing and some idiot thinks they can just join in with me like...this is not fcking glee #MeanRikonaBot,joy,anger
Metal keeps you young and spry and keeps your hair luxurious.\n\nYES\n\nSHUT UP AND LISTEN TO ME,joy,anger
"@diehimbeertonis She developed her 'forced smile'. I can force myself to describe it 'a little hearty maybe, sanki biraz':)",joy,sadness
@Bluebelle89 @lsmith855 liking the optimism,joy,joy
@MichiganBromo Good optimism sir :),joy,joy
@bruins_514 @gorddownie @thehipdotcom It would be #TragicallyHip if they can #help @TOYSFORASMILE make #hospitalized  #sick #kids #smile 😊✌❤,joy,joy
i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,joy,fear
@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb,joy,joy
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. #hilarious",joy,anger
@kwelbyroberts they will come and you will rejoice at their arrival.,joy,joy
@harrietemmett great minds think alike. ,joy,joy
"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",joy,anger
@MacDsmash you should get some @SSB_Swedish delight,joy,joy
@yungdoujin wouldn't that basically be sparkling water,joy,joy
"@Geminiak @LondonNPC you're welcome! #wordgeek \nAlso, good to put a face to the twitter feed, even if it was only a cheery hello! 😀",joy,joy
amateur author Twitter might be the most depressing thing I've ever seen,sadness,sadness
All I want to do is watch some netflix but I am stuck here in class. #depressing,sadness,sadness
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",sadness,joy
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,sadness,fear
Wow just watched Me Before You and it was seriously one of the most depressing movies of my life,sadness,sadness
im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary,sadness,sadness
I can't WAIT to go to work tomorrow with a high as fuck fever. [sarcasm]\nHopefully I'll feel better tomorrow.\nBut I doubt it. #pessimism,sadness,anger
"@Virgin_TrainsEC I feel for the conductor tonight, he's obviously taken grief over the last few weeks, he sounds weary of apologising!",sadness,sadness
"@GRIPLIKEAVICE_ I wouldn't mind if it didn't you know, threaten my job when I disagree. Puts a damper on things.",sadness,anger
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,anger
"Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery",sadness,sadness
This shit hurting my heart 😪 that's how serious it is .,sadness,sadness
If I had a little bit of extra money I would blow the whole paycheck and go to one of the two of @KygoMusic's concerts in LA. #serious,sadness,joy
"We are about a little over an hour away! We will arrive soon, do not fret!",sadness,fear
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,sadness,anger
Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz #blues,sadness,sadness
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,sadness,sadness
I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,sadness,sadness
aaahhhh! a little @OtisRedding to soothe the soul. #music ,sadness,joy
On bedrest since I got out of the hospital. U find in unopened beer.. what do I do. Pour that shit out! No alcohol at all for me #sober,sadness,anger
